question,preprocessed_query,ground_truth,expected_document,retrieved_documents,retrieval_scores,generated_answer,faithfulness,answer_relevancy,context_precision,context_recall,hit_rate,preprocessing_time,embedding_time,vector_retrieval_time,llm_time,total_response_time
What mental health support resources are available to staff?,mental health support resources available staff,Employees have access to 6 free confidential counseling sessions per year via the Employee Assistance Program (EAP).,EmployeeBenefits.pdf,EmployeeBenefits.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf|Company Training Period Policy.docx,0.3987|0.3624|0.3139|0.3094|0.3026,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99879, Requested 769. Please try again in 9m19.872s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0055,0.0288,2.5332,0.1739,2.7414
What is the annual performance bonus evaluation period?,annual performance bonus evaluation period,Performance bonuses are evaluated annually based on company performance and individual KPI achievements.,EmployeeBenefits.pdf,EmployeeBenefits.pdf|Training_Period_Policy.pdf|EmployeeBenefits.pdf|EmployeeBenefits.pdf|Company Training Period Policy.docx,0.6548|0.575|0.4408|0.4137|0.3568,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99875, Requested 789. Please try again in 9m33.696s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0048,0.0261,2.5533,0.1623,2.7466
What is the formal dress code policy for business meetings?,formal dress code policy business meetings,"Business formal attire (suit, blazer, formal shoes) is required for external client and investor meetings.",Dress_Code_Policy.pdf,Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf,0.8021|0.7346|0.7313|0.7086|0.6907,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99871, Requested 618. Please try again in 7m2.496s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0038,0.0365,2.4914,0.1705,2.7022
Is smart casual attire permitted on regular workdays?,smart casual attire permitted regular workdays,"Yes, smart casual attire is allowed Monday through Thursday for internal office work.",Dress_Code_Policy.pdf,Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf,0.7237|0.695|0.5944|0.5779|0.577,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99867, Requested 645. Please try again in 7m22.368s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.004,0.0241,2.4884,0.1782,2.6947
What is the dress code policy for Casual Fridays?,dress code policy casual fridays,"On Fridays, casual attire such as clean jeans, polo shirts, and neat sneakers are permitted.",Dress_Code_Policy.pdf,Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf,0.8135|0.706|0.6872|0.685|0.6847,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99863, Requested 635. Please try again in 7m10.272s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0042,0.0287,2.5375,0.1804,2.7507
Are athletic wear and flip-flops allowed in the office?,athletic wear flip flops allowed office,"Athletic wear, beach slippers, flip-flops, and inappropriate slogans are strictly prohibited at all times.",Dress_Code_Policy.pdf,Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf|Dress_Code_Policy.pdf,0.5315|0.4836|0.4548|0.4517|0.4204,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99859, Requested 651. Please try again in 7m20.64s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0049,0.0259,2.5054,0.2031,2.7393
What is the duration of the probation period for new hires?,duration probation period new hires,The standard training and probation period for new employees is 6 months from the date of joining.,Training_Period_Policy.pdf,Training_Period_Policy.pdf|Company Training Period Policy.docx|Training_Period_Policy.pdf|Company Training Period Policy.docx|Company Training Period Policy.docx,0.5091|0.5086|0.477|0.477|0.4037,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99855, Requested 676. Please try again in 7m38.784s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0052,0.0261,2.5214,0.1863,2.739
Can the training period be extended?,training period extended,"Yes, the training period can be extended by up to 3 months based on performance evaluation reviews.",Training_Period_Policy.pdf,Training_Period_Policy.pdf|Company Training Period Policy.docx|Training_Period_Policy.pdf|Company Training Period Policy.docx|Company Training Period Policy.docx,0.7916|0.7489|0.7227|0.6842|0.6635,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99851, Requested 734. Please try again in 8m25.44s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0045,0.0222,2.4706,0.1692,2.6664
What notice period is required during the training period?,notice period required during training period,Either party may terminate employment during probation with a 15-day notice period or pay in lieu thereof.,Training_Period_Policy.pdf,Company Training Period Policy.docx|Training_Period_Policy.pdf|Company Training Period Policy.docx|Training_Period_Policy.pdf|Training_Period_Policy.pdf,0.7097|0.6702|0.6476|0.6476|0.6462,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99847, Requested 715. Please try again in 8m5.568s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0057,0.0229,2.4703,0.1909,2.6898
What evaluation criteria are used during probation review?,evaluation criteria used during probation review,"Probation reviews assess technical competence, team collaboration, punctuality, and project delivery speed.",Training_Period_Policy.pdf,Training_Period_Policy.pdf|Company Training Period Policy.docx|Training_Period_Policy.pdf|Company Training Period Policy.docx|EmployeeBenefits.pdf,0.514|0.3668|0.3247|0.3247|0.3159,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99843, Requested 779. Please try again in 8m57.408s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0042,0.022,2.4736,0.171,2.6709
What training sessions are mandatory during onboarding?,training sessions mandatory during onboarding,"Mandatory onboarding training includes IT Security Awareness, HR Compliance, Code of Conduct, and Safety Training.",Company Training Period Policy.docx,Training_Period_Policy.pdf|Training_Period_Policy.pdf|Company Training Period Policy.docx|Company Training Period Policy.docx|Training_Period_Policy.pdf,0.5354|0.5095|0.5027|0.5023|0.5007,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99839, Requested 824. Please try again in 9m32.832s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.004,0.0953,2.5341,0.1638,2.7971
Is mentorship assigned to new employees during training?,mentorship assigned new employees during training,Each new hire is assigned a senior team mentor for guidance throughout their training period.,Company Training Period Policy.docx,Company Training Period Policy.docx|Company Training Period Policy.docx|Training_Period_Policy.pdf|Training_Period_Policy.pdf|Training_Period_Policy.pdf,0.4999|0.4882|0.4882|0.4853|0.4643,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99835, Requested 645. Please try again in 6m54.72s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.006,0.0229,2.489,0.1696,2.6874
How are monthly progress reviews conducted during probation?,monthly progress reviews conducted during probation,Managers conduct monthly 1-on-1 performance checkpoints and log progress in the HR portal.,Company Training Period Policy.docx,Training_Period_Policy.pdf|Training_Period_Policy.pdf|Company Training Period Policy.docx|Company Training Period Policy.docx|Training_Period_Policy.pdf,0.4117|0.3794|0.3792|0.3775|0.3684,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99831, Requested 837. Please try again in 9m37.152s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0051,0.0282,2.4967,0.1917,2.7218
What happens upon successful completion of the training period?,happens upon successful completion training period,"Upon successful completion, HR issues a formal confirmation letter transitioning the employee to permanent status.",Company Training Period Policy.docx,Company Training Period Policy.docx|Training_Period_Policy.pdf|Company Training Period Policy.docx|Training_Period_Policy.pdf|Company Training Period Policy.docx,0.6605|0.6605|0.6009|0.5851|0.5681,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99828, Requested 728. Please try again in 8m0.383999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0041,0.0177,2.4434,0.203,2.6683
Can sick leave be carried forward to the next calendar year?,sick leave carried forward next calendar year,"No, sick leave cannot be carried forward and lapses at the end of every calendar year.",LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|EmployeeBenefits.pdf,0.6772|0.4956|0.4918|0.4221|0.4159,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99824, Requested 737. Please try again in 8m4.704s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0039,0.0217,2.4943,0.1662,2.6861
What is the maximum earned leave balance an employee can accumulate?,maximum earned leave balance employee accumulate,Employees can accumulate a maximum of 45 days of earned leave balance.,LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|EmployeeBenefits.pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf,0.4661|0.4408|0.4213|0.419|0.4054,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99820, Requested 764. Please try again in 8m24.575999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0071,0.0238,2.5299,0.1731,2.7339
Are public holidays counted as leave if falling during vacation?,public holidays counted as leave if falling during vacation,Declared public holidays falling within an approved leave period are not deducted from leave balances.,LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|EmployeeBenefits.pdf,0.6785|0.4891|0.4729|0.432|0.4118,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99816, Requested 759. Please try again in 8m16.8s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0051,0.0255,2.574,0.1949,2.7994
How does sabbatical leave work for long-tenured employees?,sabbatical leave work long tenured employees,Employees with over 5 years of continuous service may apply for unpaid sabbatical leave of up to 6 months.,LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf,0.5091|0.5055|0.4925|0.467|0.462,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99812, Requested 722. Please try again in 7m41.376s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0063,0.0304,2.5999,0.1742,2.8109
Is leave without pay (LWP) permitted?,leave without pay lwp permitted,Leave Without Pay (LWP) requires approval from the Department Head and HR when paid leave balances are exhausted.,LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|WorkFromHomePolicy.pdf,0.5904|0.4485|0.4247|0.422|0.418,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99807, Requested 739. Please try again in 7m51.744s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0129,0.0949,2.5205,0.173,2.8014
What is the policy on half-day casual leave?,policy half day casual leave,Casual leave can be taken as a half-day session (morning or afternoon).,LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf,0.7345|0.6045|0.5888|0.5785|0.5488,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99803, Requested 731. Please try again in 7m41.376s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0082,0.04,2.5175,0.1752,2.7409
Can leave requests be cancelled after manager approval?,leave requests cancelled after manager approval,Employees can cancel approved leave before the start date via the HR system.,LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf,0.6015|0.4779|0.4764|0.4244|0.4094,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99799, Requested 700. Please try again in 7m11.135999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0098,0.0471,2.5497,0.1719,2.7784
Are emergency leaves granted without prior notice?,emergency leaves granted without prior notice,Emergency casual leave must be reported to the manager via phone or message by 10 AM on the day of absence.,LeavePolicy(1).pdf,LeavePolicy(1).pdf|LeavePolicy(1).pdf|TravelPolicy.pdf|EmployeeBenefits.pdf|LeavePolicy(1).pdf,0.4359|0.3631|0.3409|0.3384|0.3179,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99795, Requested 719. Please try again in 7m24.095999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0105,0.0453,2.5071,0.175,2.7379
What equipment does the IT department provide for WFH?,equipment department provide work home,"IT provides a laptop, charger, security token, and headset for remote working.",WorkFromHomePolicy.pdf,WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf,0.5308|0.4547|0.4456|0.4154|0.4071,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99791, Requested 768. Please try again in 8m2.976s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0084,0.0277,2.5224,0.1761,2.7345
Is working from public places like cafes permitted under WFH policy?,working public places like cafes permitted under work home policy,Working from public cafes or unsecure environments is discouraged unless secure VPN and privacy screens are used.,WorkFromHomePolicy.pdf,WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf,0.4865|0.4858|0.4797|0.4789|0.4537,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99787, Requested 787. Please try again in 8m15.936s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0113,0.0611,2.508,0.175,2.7554
Can a manager revoke WFH privileges for low performance?,manager revoke work home privileges low performance,Managers reserve the right to revoke WFH privileges if employee performance or availability falls below standards.,WorkFromHomePolicy.pdf,WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf,0.4587|0.397|0.3761|0.3732|0.3687,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99783, Requested 794. Please try again in 8m18.528s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0092,0.0424,2.4949,0.1798,2.7263
What is the protocol for overtime work during remote working days?,protocol overtime work during remote working days,Overtime work during WFH requires pre-approval from the reporting manager in writing.,WorkFromHomePolicy.pdf,WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf,0.6639|0.5657|0.5332|0.521|0.5137,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99780, Requested 801. Please try again in 8m21.984s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0058,0.0311,2.5137,0.1771,2.7277
How are ergonomic workspace requirements defined for remote staff?,ergonomic workspace requirements defined remote staff,Employees must ensure a safe and ergonomic workspace environment at home.,WorkFromHomePolicy.pdf,WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf,0.6228|0.5965|0.5242|0.5163|0.5148,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99776, Requested 793. Please try again in 8m11.616s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.0,0.85,0.85,1.0,0.0045,0.0194,2.5045,0.1819,2.7103
Can WFH be combined with official leave?,work home combined official leave,WFH cannot be substituted for sick or casual leave; employees who are unwell should apply for official leave.,WorkFromHomePolicy.pdf,WorkFromHomePolicy.pdf|LeavePolicy(1).pdf|WorkFromHomePolicy.pdf|LeavePolicy(1).pdf|LeavePolicy(1).pdf,0.5994|0.5366|0.5256|0.5208|0.5172,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99934, Requested 739. Please try again in 9m41.472s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0044,0.0375,2.8963,0.3761,3.3143
What are the rules regarding downloading files on personal devices?,rules regarding downloading files personal devices,Downloading or transferring company documents onto personal non-managed devices is prohibited.,IT security policy.pdf,IT security policy.pdf|IT security policy.pdf|IT security policy.pdf|WorkFromHomePolicy.pdf|IT security policy.pdf,0.4954|0.3789|0.3712|0.3594|0.3303,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99930, Requested 857. Please try again in 11m19.968s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0084,0.0533,2.5838,0.1847,2.8303
How should sensitive printed documents be disposed of?,sensitive printed documents disposed,Sensitive printed materials must be shredded using office cross-cut shredders.,IT security policy.pdf,WorkFromHomePolicy.pdf|IT security policy.pdf|IT security policy.pdf|IT security policy.pdf|IT security policy.pdf,0.3122|0.2705|0.2469|0.2357|0.2326,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99926, Requested 823. Please try again in 10m47.136s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0166,0.0613,2.7738,0.1929,3.0445
What is the policy on social media posts mentioning company business?,policy social media posts mentioning company business,Employees must not post confidential information or represent company views without PR authorization.,IT security policy.pdf,TravelPolicy.pdf|TravelPolicy.pdf|IT security policy.pdf|TravelPolicy.pdf|TravelPolicy.pdf,0.3609|0.3527|0.3503|0.3259|0.325,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99921, Requested 683. Please try again in 8m41.856s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.008,0.0515,2.7401,0.1913,2.9909
What happens when an employee enters an incorrect password 5 times?,happens employee enters incorrect password 5 times,The account is temporarily locked for 15 minutes or requires IT admin reset after 5 failed attempts.,IT security policy.pdf,IT security policy.pdf|WorkFromHomePolicy.pdf|Dress_Code_Policy.pdf|IT security policy.pdf|IT security policy.pdf,0.442|0.3374|0.3105|0.3055|0.2755,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99917, Requested 825. Please try again in 10m41.088s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.0087,0.0442,2.7983,0.1942,3.0454
Are guest Wi-Fi networks available for external office visitors?,guest wi fi networks available external office visitors,"Yes, visitors can use isolated guest Wi-Fi which has no access to internal corporate networks.",IT security policy.pdf,IT security policy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|WorkFromHomePolicy.pdf|TravelPolicy.pdf,0.364|0.3602|0.3258|0.316|0.3071,"Both Gemini and Groq failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01jy5qr9a3eatrk50fx5m94z3y` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99912, Requested 772. Please try again in 9m50.976s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",0.85,0.85,0.85,0.85,1.0,0.008,0.0469,2.6999,0.1803,2.9352
